index,EF#,Location,County / Parish,State,Start Coord.,Time (UTC),Path length,Max width,Damage[note 2],Summary
0,EF2,SE of Oneonta,Blount,AL,33°52′18″N 86°26′45″W﻿ / ﻿33.8716°N 86.4459°W,1447–1457,6.04 mi (9.72 km),675 yd (617 m),"$960,000","The Appalachian School property sustained damage, several hundred trees were snapped or uprooted, and many chicken houses were damaged or destroyed. Many garages, sheds, and outbuildings were destroyed. At least 25 homes sustained major damage while dozens more sustained lesser damage. A mobile home was destroyed and several others were damaged, a few feed silos were tipped over and rolled, and hundreds of livestock were killed by flying debris.[10]"
1,EF2,N of Piedmont,Cherokee,AL,33°59′01″N 85°37′46″W﻿ / ﻿33.9835°N 85.6295°W,1550–1554,3.61 mi (5.81 km),50 yd (46 m),"$75,000","Metal roofing panels were torn from a barn, and half the roof was torn from a brick house. Two other homes and a barn also sustained structural damage. Numerous trees were snapped or uprooted.[11]"
2,EF3,NW of Aragon to W of Emerson,"Polk, Floyd, Bartow",GA,34°05′N 85°07′W﻿ / ﻿34.09°N 85.11°W,1625–1645,16.93 mi (27.25 km),880 yd (800 m),"$7,500,000","2 deaths – A significant tornado began in Polk County, affecting 16 houses; 4 were destroyed (killing an occupant), 2 sustained major damage, 5 sustained minor damage, and 5 sustained even lesser damage. Several county outbuildings, barns, shops, vehicles, a motor home, a travel trailer, a dog kennel business, and several fences were heavily damaged. Hundreds of trees and power lines were downed, including several high tension power line support structures that were heavily impacted. Another 20 homes were impacted in Floyd County, with 10 destroyed (killing an occupant) and 10 affected insignificantly. Approximately 55 homes were affected in Bartow County, of which 6 were destroyed and 30 sustained minor damage. Taylorsville Elementary and Woodland High School sustained major damage, and some Georgia Power high transmission towers were toppled.[12][13][14]"
3,EF0,S of Royston,"Franklin, Hart",GA,34°16′23″N 83°10′34″W﻿ / ﻿34.273°N 83.176°W,1844–1851,3.24 mi (5.21 km),20 yd (18 m),$0,Trees and power lines were downed; a tree fell on a home.[15][16]
4,EF0,NE of Abbeville,Abbeville,SC,34°14′29″N 82°18′21″W﻿ / ﻿34.2414°N 82.3058°W,1943,0.5 mi (0.80 km),20 yd (18 m),$0,Trees and power lines were downed.[17]
5,EF1,NE of Winnsboro to SE of Kershaw,"Fairfield, Kershaw",SC,34°27′N 80°58′W﻿ / ﻿34.45°N 80.97°W,2010–2039,24.22 mi (38.98 km),80 yd (73 m),$0,A long-tracked tornado snapped or uprooted numerous trees onto secondary roadways.[18][19]
6,EF2,SSW of Calhoun Falls,Elbert,GA,34°00′27″N 82°44′03″W﻿ / ﻿34.0074°N 82.7341°W,2019–2030,8.04 mi (12.94 km),100 yd (91 m),"$100,000","Numerous trees were snapped or uprooted, two homes sustained heavy roof damage, a boat dock was tossed 25 ft (8.3 yd), and power lines were downed.[20]"
7,EF3,Silverstreet to Prosperity to N of Chapin,"Newberry, Richland",SC,34°14′N 81°46′W﻿ / ﻿34.23°N 81.76°W,2025–2047,27.51 mi (44.27 km),"1,320 yd (1,210 m)","$10,000","Many residences were heavily damaged, a few mobile homes sustained moderate damage, numerous trees were snapped or uprooted, and power lines were downed. Two people were injured.[21][22]"
8,EF1,SE of Calhoun Falls,"Lincoln, McCormick","GA, SC",33°57′36″N 82°35′35″W﻿ / ﻿33.96°N 82.593°W,2028–2047,12.62 mi (20.31 km),440 yd (400 m),Unknown,"Several mobile homes sustained minor to moderate damage, and numerous trees were downed.[23][24]"
9,EF2,W of Camden to NW of Bethune,Kershaw,SC,34°16′N 80°43′W﻿ / ﻿34.27°N 80.72°W,2030–2050,23.04 mi (37.08 km),660 yd (600 m),Unknown,"Several homes and mobiles homes sustained moderate damage, mainly in the form of partially torn off roofs. A building on a poultry farm had its entire roof ripped off as well.[25]"
10,EF1,N of McBee,Chesterfield,SC,34°32′42″N 80°18′00″W﻿ / ﻿34.545°N 80.3°W,2047–2100,6.97 mi (11.22 km),110 yd (100 m),"$25,000","A few mobile homes and a water tower sustained minor damage, while many trees and power lines were downed.[26]"
11,EF2,ENE of McCormick to SW of Monetta,"McCormick, Edgefield, Saluda",SC,33°57′N 82°11′W﻿ / ﻿33.95°N 82.19°W,2102–2130,32.67 mi (52.58 km),660 yd (600 m),Unknown,"Numerous trees and power lines were downed. One house and one mobile home were severely damaged, a second mobile home was split in two by a fallen tree, and several other houses and mobile homes sustained minor damage.[27][28][29]"
12,EF2,Elgin,Kershaw,SC,34°11′N 80°50′W﻿ / ﻿34.18°N 80.83°W,2122–2131,6.89 mi (11.09 km),"1,230 yd (1,120 m)",Unknown,"Many houses had portions of its their roofs ripped off, four mobile homes were destroyed, and numerous trees and power lines were downed. Two people were injured.[30]"
13,EF0,Lugoff,Kershaw,SC,34°13′N 80°40′W﻿ / ﻿34.22°N 80.67°W,2133,0.5 mi (0.80 km),100 yd (91 m),Unknown,"Several homes sustained minor damage, and trees were downed.[31]"
14,EF0,SE of Monetta,Aiken,SC,33°49′06″N 81°34′52″W﻿ / ﻿33.8183°N 81.581°W,2137–2138,0.5 mi (0.80 km),100 yd (91 m),$0,Trees were downed.[32]
15,EF2,WNW of Pelion,Lexington,SC,33°48′00″N 81°23′06″W﻿ / ﻿33.8°N 81.385°W,2141–2154,8.33 mi (13.41 km),440 yd (400 m),Unknown,"A mobile home was severely damaged, farm irrigation equipment was rolled and twisted, and numerous trees and power lines were downed. Several other mobile homes sustained lesser damage.[33]"
16,EF1,SE of Blythewood,Richland,SC,34°10′N 80°56′W﻿ / ﻿34.17°N 80.93°W,2143–2150,3.7 mi (6.0 km),660 yd (600 m),Unknown,A few homes had their roofs torn off while others only had portions removed. Numerous trees and power lines were downed.[34]
17,EF0,S of Latta,Dillon,SC,34°19′44″N 79°26′12″W﻿ / ﻿34.3288°N 79.4366°W,2148–2150,1.36 mi (2.19 km),75 yd (69 m),"$50,000","A large tree fell on a home; other trees were downed or damaged. Six homes sustained minor damage, and one trailer sustained major damage.[35]"
18,EF1,NE of Thomson,"McDuffie, Columbia",GA,33°36′N 82°29′W﻿ / ﻿33.6°N 82.49°W,2148–2203,9.9 mi (15.9 km),440 yd (400 m),"$140,000",One mobile home was destroyed and several others sustained moderate damage. Numerous trees and power lines were downed. Two people were injured.[36][37]
19,EF2,NW of Woodford to St. Matthews to N of Elloree,Calhoun,SC,33°42′18″N 81°01′01″W﻿ / ﻿33.705°N 81.017°W,2210–2238,24.39 mi (39.25 km),440 yd (400 m),Unknown,"Several mobile homes sustained severe damage while other houses had their roofs ripped off. Several outbuildings were damaged, a few barns collapsed, and numerous trees were downed.[38]"
20,EF0,NE of Evans,Edgefield,SC,33°34′N 82°02′W﻿ / ﻿33.57°N 82.04°W,2211–2213,3.74 mi (6.02 km),220 yd (200 m),$0,Several trees were downed.[39]
21,EF0,SW of Jackson,Butts,GA,33°14′49″N 84°03′25″W﻿ / ﻿33.247°N 84.057°W,2215–2219,4.42 mi (7.11 km),100 yd (91 m),"$150,000","A total of 136 homes sustained minor damage, a barn was destroyed, and many trees were downed.[40]"
22,EF2,Wrens to Matthews to N of Waynesboro,"Jefferson, Burke",GA,33°12′37″N 82°23′32″W﻿ / ﻿33.2102°N 82.3922°W,2215–2245,22.07 mi (35.52 km),880 yd (800 m),"$500,000","Several mobile homes were destroyed. Two businesses and a church were destroyed. Several other businesses, another church, and numerous homes were damaged. Numerous trees and power lines were downed.[41][42]"
23,EF0,Fair Bluff,Columbus,NC,34°18′26″N 79°02′14″W﻿ / ﻿34.3073°N 79.0373°W,2216–2217,0.02 mi (0.032 km),10 yd (9.1 m),Unknown,Several trees were snapped.[43]
24,EF2,E of Augusta to W of Williston,"Aiken, Barnwell",SC,33°29′N 81°54′W﻿ / ﻿33.49°N 81.9°W,2218–2248,25.51 mi (41.05 km),"1,760 yd (1,610 m)",Unknown,Many homes sustained extensive damage to their roofs and structures. A water tower had its top ripped off and deposited several hundred yards away.[44][45]
25,EF1,S of Timmonsville,Florence,SC,34°04′52″N 80°00′39″W﻿ / ﻿34.0811°N 80.0108°W,2225–2240,13.45 mi (21.65 km),100 yd (91 m),"$605,000","One house was destroyed while four others sustained major damage and seventy six others sustained minor damage. Nine mobile homes were completely destroyed, five mobile homes sustained major damage, and eight mobile homes sustained minor damage. Two businesses sustained major damage, thirteen barns and outbuildings were destroyed (and 3 others sustained major damage), and three people were injured.[46]"
26,EF2,N of Mayesville,Lee,SC,34°07′30″N 80°19′12″W﻿ / ﻿34.125°N 80.32°W,2252–2305,14.08 mi (22.66 km),440 yd (400 m),Unknown,"Several houses, mobile homes, and a church sustained moderate to major damage. Numerous trees and power lines were downed.[47]"
27,EF0,E of Elko,Barnwell,SC,33°22′44″N 81°21′36″W﻿ / ﻿33.379°N 81.36°W,2254–2255,0.58 mi (0.93 km),100 yd (91 m),$0,Trees were downed in a convergent pattern.[48]
28,EF1,S of Manning,Clarendon,SC,33°32′N 80°06′W﻿ / ﻿33.53°N 80.1°W,2258–2311,8.61 mi (13.86 km),220 yd (200 m),Unknown,Many trees and power lines were downed. A few homes sustained minor to moderate damage.[49]
29,EF1,Denmark,Bamberg,SC,33°19′12″N 81°07′58″W﻿ / ﻿33.32°N 81.1327°W,2305–2307,1.96 mi (3.15 km),220 yd (200 m),Unknown,"Utility poles were snapped, trees and power lines were downed, and several houses sustained moderate damage.[49]"
30,EF1,NE of Waynesboro to Girard to NE of Sardis,Burke,GA,33°06′N 81°54′W﻿ / ﻿33.1°N 81.9°W,2305–2315,15.23 mi (24.51 km),440 yd (400 m),"$100,000","Numerous trees and power lines were downed. One home had its windows broken, siding severely damaged, and part of the roof ripped off. Several mobile homes sustained minor to moderate damage.[50]"
31,EF2,S of Martin to Allendale to NE of Fairfax,Allendale,SC,33°02′N 81°30′W﻿ / ﻿33.03°N 81.5°W,2312–2335,18 mi (29 km),"1,320 yd (1,210 m)","$2,300,000","Approximately 1,500 to 2,000 trees were snapped, two mobile homes were destroyed, a cell phone tower was toppled, and inflicted mainly minor roof damage to dozens of residences. Numerous power lines and power poles were downed, several barns, sheds, and outbuildings were destroyed, and an empty tractor trailer was overturned. One person was injured.[51]"
32,EF0,Aynor,Horry,SC,33°59′39″N 79°12′10″W﻿ / ﻿33.9943°N 79.2028°W,2313–2314,0.27 mi (0.43 km),25 yd (23 m),"$5,000","A mobile home, trees, and power lines were damaged. A carport was destroyed.[52]"
33,EF1,S of Greeleyville,Williamsburg,SC,33°32′15″N 80°00′00″W﻿ / ﻿33.5375°N 80°W,2317–2320,2.49 mi (4.01 km),75 yd (69 m),Unknown,Numerous large hardwood trees were snapped or uprooted.[53]
34,EF1,SE of Bamberg,Bamberg,SC,33°14′N 80°56′W﻿ / ﻿33.24°N 80.93°W,2325–2329,3.76 mi (6.05 km),660 yd (600 m),Unknown,Numerous trees were downed in a convergent path.[54]
35,EF3,Branchville,Orangeburg,SC,33°14′24″N 80°51′54″W﻿ / ﻿33.24°N 80.865°W,2329–2344,10.11 mi (16.27 km),"1,320 yd (1,210 m)",Unknown,"One residence was destroyed and sixteen others sustained minor to moderate damage. One mobile home was destroyed and six others sustained minor to moderate damage. Seven buildings were destroyed, including a couple of three-layer deep brick buildings; eighteen others sustained minor to major damage.[55]"
36,EF1,E of Lane,Williamsburg,SC,33°29′32″N 79°42′50″W﻿ / ﻿33.4923°N 79.7139°W,2336–2340,4.01 mi (6.45 km),75 yd (69 m),"$200,000","Thirty-five homes were damaged, of which seven suffered major damage and five were completely destroyed.[56]"
37,EF0,NW of Georgetown,Georgetown,SC,33°29′05″N 79°22′21″W﻿ / ﻿33.4848°N 79.3726°W,2354–2355,0.01 mi (0.016 km),25 yd (23 m),Unknown,"Eight trees were downed; one home sustained significant damage from a fallen tree, with its porch damaged and foundation shifted.[57]"
38,EF1,Hampstead,Pender,NC,34°22′03″N 77°42′52″W﻿ / ﻿34.3676°N 77.7145°W,2356–2359,1.99 mi (3.20 km),100 yd (91 m),"$2,000,000","Eighteen homes were affected, of which fifteen sustained minor damage and three sustained major damage. Five mobile homes sustained minor damage while two sustained moderate damage. Ten businesses sustained minor damage, and an additional three sustained moderate damage. Trees were snapped.[58]"
39,EF1,N of Ridgeville,Dorchester,SC,33°07′N 80°19′W﻿ / ﻿33.11°N 80.32°W,0008–0011,2.2 mi (3.5 km),40 yd (37 m),"$218,000","Roof panels were ripped from the canopy at Carters fast stop gas station, two mobile homes were damaged (with one shifted 5 ft (1.7 yd) off its foundation and the other having its windows and doors blown out), and a car was moved approximately 50 ft (17 yd).[59]"
40,EF1,N of Mount Holly,Berkeley,SC,33°04′N 80°02′W﻿ / ﻿33.06°N 80.03°W,0025–0026,0.6 mi (0.97 km),180 yd (160 m),"$150,000","Two mobile homes sustained extensive damage, six mobile homes sustained moderate damage, and six mobile homes sustained minor damage. Large trees were snapped and uprooted. Seven people were injured.[60]"
41,EF1,ENE of Goose Creek,Berkeley,SC,33°03′N 79°51′W﻿ / ﻿33.05°N 79.85°W,0036–0038,1.2 mi (1.9 km),135 yd (123 m),"$200,000","A large storage shed was severely damaged, several large trees were downed. Mount Zion Methodist Church sustained complete failure of its front porch and had a portion of the roof deck uplifted; its steeple was toppled and portions of the outer brick wall sustained severe damage as well.[61]"
42,EF2,NE of Springfield,Effingham,GA,32°23′N 81°19′W﻿ / ﻿32.39°N 81.31°W,0134–0143,7 mi (11 km),440 yd (400 m),"$1,500,000","Three mobile homes were destroyed, three to four dozen residences were damaged, and fifteen high voltage transmission towers were toppled. Twenty vehicles were damaged or destroyed, and numerous outbuildings, sheds, and barns were destroyed. Six people were injured.[62]"
43,EF2,NE of Rincon,Effingham,GA,32°20′N 81°12′W﻿ / ﻿32.33°N 81.2°W,0144–0145,0.5 mi (0.80 km),100 yd (91 m),"$3,000,000","A water cooling tower was destroyed and a second was damaged. Several buildings were damaged, two high voltage transmission towers were toppled, and several dozen trees were snapped or uprooted. Tractor trailer cargo containers were tossed up to 100 yd (91 m).[63]"
